FAMILY,genus.species,FLOWER_SPECIES,DATE
Andrenidae,Andrena.crataegi,Balsamorhiza sagittata,4-Jun-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,4-Jun-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,4-Jun-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,4-Jun-14
Apidae,Eucera.edwardsii,Oxytropis campestris,4-Jun-14
Halictidae,Lasioglossum.egregium,Penstemon eriantherus,4-Jun-14
Halictidae,Agapostemon.texanus.angelicus,Penstemon eriantherus,4-Jun-14
Megachilidae,Osmia.juxta,Penstemon eriantherus,4-Jun-14
Megachilidae,Osmia.californica,Penstemon eriantherus,4-Jun-14
Apidae,Bombus.appositus,Penstemon eriantherus,4-Jun-14
Megachilidae,Osmia.albolateralis,Astragalus miser,4-Jun-14
Megachilidae,Osmia.albolateralis,Astragalus alpinus,4-Jun-14
Apidae,Anthophora.ursina,Astragalus alpinus,4-Jun-14
Halictidae,Lasioglossum.albipenne,Gaillardia aristata,4-Jun-14
Megachilidae,Hoplitis.hypocrita,Phlox albomarginata,4-Jun-14
Halictidae,Lasioglossum.sp.F28,Sphaeralcea coccinea,4-Jun-14
Apidae,Bombus.appositus,Oxytropis campestris,4-Jun-14
Apidae,Bombus.appositus,Oxytropis campestris,4-Jun-14
Apidae,Bombus.appositus,Oxytropis campestris,4-Jun-14
Apidae,Bombus.bifarius,Astragalus alpinus,4-Jun-14
Apidae,Bombus.appositus,Oxytropis campestris,4-Jun-14
Apidae,Bombus.appositus,Oxytropis campestris,4-Jun-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,5-Jun-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,5-Jun-14
Megachilidae,Osmia.montana.montana,Balsamorhiza sagittata,5-Jun-14
Megachilidae,Osmia.albolateralis,Astragalus miser,5-Jun-14
Megachilidae,Osmia.inermis,Hedysarum boreale,5-Jun-14
Megachilidae,Osmia.iridis,Vicia americana,5-Jun-14
Halictidae,Lasioglossum.sp.F5,Cerastium arvense,5-Jun-14
Andrenidae,Andrena.nigrocaerulea,Cerastium arvense,5-Jun-14
Halictidae,Agapostemon.virescens,Taraxacum officinale,5-Jun-14
Megachilidae,Osmia.albolateralis,Cirsium arvense,5-Jun-14
Megachilidae,Megachile.melanophaea,Astragalus miser,5-Jun-14
Andrenidae,Andrena.sigmundi,Prunus virginiana,5-Jun-14
Megachilidae,Osmia.pusilla,Phacelia linearis,5-Jun-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,5-Jun-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,5-Jun-14
Halictidae,Halictus.tripartitus,Lupinus sericeus,5-Jun-14
Megachilidae,Osmia.trevoris,Lupinus sericeus,5-Jun-14
Apidae,Apis.mellifera,Balsamorhiza sagittata,5-Jun-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,5-Jun-14
Megachilidae,Osmia.montana.montana,Balsamorhiza sagittata,5-Jun-14
Apidae,Bombus.appositus,Lithospermum ruderale,5-Jun-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,5-Jun-14
Megachilidae,Stelis.monticola,Apocynum androsaemifolium,5-Jun-14
Apidae,Apis.mellifera,Apocynum androsaemifolium,5-Jun-14
Megachilidae,Osmia.juxta,Fragaria virginiana,5-Jun-14
Megachilidae,Osmia.coloradensis,Balsamorhiza sagittata,5-Jun-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,5-Jun-14
Andrenidae,Andrena.crataegi,Physocarpus malvaceus,5-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,5-Jun-14
Megachilidae,Osmia.juxta,Penstemon eriantherus,5-Jun-14
Apidae,Bombus.appositus,Lithospermum ruderale,5-Jun-14
Apidae,Bombus.appositus,Oxytropis campestris,5-Jun-14
Apidae,Bombus.flavifrons,Lonicera utahensis,9-Jun-14
Apidae,Bombus.bifarius,Vaccinium membranaceum,9-Jun-14
Apidae,Bombus.bifarius,Vaccinium membranaceum,9-Jun-14
Apidae,Bombus.bifarius,Lonicera utahensis,9-Jun-14
Halictidae,Lasioglossum.sp.F3,Arnica cordifolia,9-Jun-14
Halictidae,Lasioglossum.sp.F17,Fragaria virginiana,9-Jun-14
Halictidae,Lasioglossum.tenax,Fragaria virginiana,9-Jun-14
Halictidae,Lasioglossum.sp.F6,Lonicera utahensis,9-Jun-14
Megachilidae,Osmia.proxima,Fragaria virginiana,9-Jun-14
Halictidae,Lasioglossum.tenax,Lonicera utahensis,9-Jun-14
Halictidae,Lasioglossum.sp.F5,Fragaria virginiana,9-Jun-14
Halictidae,Lasioglossum.sp.F1,Lonicera utahensis,9-Jun-14
Halictidae,Lasioglossum.marinense,Lonicera utahensis,9-Jun-14
Halictidae,Halictus.ligatus,Crepis intermedia,9-Jun-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,9-Jun-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,9-Jun-14
Halictidae,Halictus.confusus,Sisymbrium loeselii,9-Jun-14
Apidae,Nomada.sp.F1,Balsamorhiza sagittata,9-Jun-14
Megachilidae,Osmia.pusilla,Phacelia linearis,9-Jun-14
Megachilidae,Osmia.trevoris,Linaria dalmatica,9-Jun-14
Megachilidae,Hoplitis.albifrons.argentifrons,Phlox albomarginata,9-Jun-14
Megachilidae,Hoplitis.hypocrita,Crepis intermedia,9-Jun-14
Megachilidae,Osmia.californica,Crepis intermedia,9-Jun-14
Megachilidae,Ashmeadiella.californica,Crepis intermedia,9-Jun-14
Apidae,Anthophora.ursina,Penstemon albertinus,9-Jun-14
Megachilidae,Osmia.californica,Penstemon albertinus,9-Jun-14
Megachilidae,Osmia.juxta,Penstemon albertinus,9-Jun-14
Megachilidae,Osmia.albolateralis,Penstemon albertinus,9-Jun-14
Halictidae,Lasioglossum.sp.F5,Penstemon albertinus,9-Jun-14
Megachilidae,Osmia.californica,Crepis intermedia,9-Jun-14
Halictidae,Lasioglossum.sp.F1,Vaccinium scoparium,9-Jun-14
Apidae,Bombus.occidentalis,Vaccinium membranaceum,9-Jun-14
Apidae,Bombus.mixtus,Lonicera utahensis,10-Jun-14
Halictidae,Lasioglossum.sp.F5,Lonicera utahensis,10-Jun-14
Halictidae,Lasioglossum.sp.F5,Lonicera utahensis,10-Jun-14
Megachilidae,Osmia.iridis,Astragalus laxmannii,10-Jun-14
Halictidae,Lasioglossum.sp.F5,Packera cana,10-Jun-14
Halictidae,Dufourea.trochantera,Phacelia linearis,10-Jun-14
Halictidae,Dufourea.trochantera,Phacelia linearis,10-Jun-14
Megachilidae,Osmia.iridis,Astragalus miser,10-Jun-14
Andrenidae,Andrena.amphibola,Astragalus miser,10-Jun-14
Megachilidae,Hoplitis.fulgida.fulgida,Phacelia linearis,10-Jun-14
Halictidae,Dufourea.trochantera,Phacelia linearis,10-Jun-14
Apidae,Ceratina.nanula,Sphaeralcea coccinea,10-Jun-14
Apidae,Diadasia.diminuta,Gaillardia aristata,10-Jun-14
Halictidae,Lasioglossum.sp.F5,Lonicera utahensis,10-Jun-14
Apidae,Bombus.flavifrons,Vaccinium membranaceum,11-Jun-14
Apidae,Bombus.bifarius,Hedysarum boreale,11-Jun-14
Halictidae,Lasioglossum.sp.F5,Taraxacum officinale,11-Jun-14
Halictidae,Halictus.rubicundus,Taraxacum officinale,11-Jun-14
Megachilidae,Osmia.albolateralis,Astragalus miser,11-Jun-14
Megachilidae,Osmia.tersula,Lonicera utahensis,11-Jun-14
Andrenidae,Andrena.topazana,Fragaria virginiana,11-Jun-14
Apidae,Eucera.edwardsii,Packera cana,11-Jun-14
Megachilidae,Megachile.gemula,Apocynum androsaemifolium,11-Jun-14
Megachilidae,Osmia.albolateralis,Apocynum androsaemifolium,11-Jun-14
Apidae,Eucera.edwardsii,Oxytropis campestris,11-Jun-14
Megachilidae,Osmia.albolateralis,Oxytropis campestris,11-Jun-14
Megachilidae,Osmia.coloradensis,Packera cana,11-Jun-14
Megachilidae,Osmia.coloradensis,Packera cana,11-Jun-14
Megachilidae,Osmia.bruneri,Hedysarum boreale,11-Jun-14
Megachilidae,Osmia.iridis,Astragalus laxmannii,11-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,11-Jun-14
Megachilidae,Osmia.californica,Rubus idaeus,11-Jun-14
Apidae,Apis.mellifera,Phlox albomarginata,11-Jun-14
Apidae,Apis.mellifera,Astragalus agrestis,11-Jun-14
Halictidae,Lasioglossum.sp.F5,Apocynum androsaemifolium,11-Jun-14
Megachilidae,Osmia.juxta,Agoseris glauca,11-Jun-14
Halictidae,Halictus.tripartitus,Melilotus officinalis,11-Jun-14
Megachilidae,Osmia.albolateralis,Melilotus officinalis,11-Jun-14
Megachilidae,Osmia.grindeliae,Astragalus gracilis,11-Jun-14
Halictidae,Lasioglossum.sp.F28,Sisymbrium loeselii,11-Jun-14
Colletidae,Colletes.fulgidus,Melilotus officinalis,11-Jun-14
Apidae,Anthophora.ursina,Astragalus alpinus,11-Jun-14
Halictidae,Agapostemon.texanus.angelicus,Crepis intermedia,11-Jun-14
Megachilidae,Osmia.nigrifrons,Astragalus miser,11-Jun-14
Megachilidae,Osmia.odontogaster.gr.sp.1,Astragalus miser,11-Jun-14
Megachilidae,Osmia.iridis,Astragalus miser,11-Jun-14
Megachilidae,Osmia.albolateralis,Astragalus miser,11-Jun-14
Megachilidae,Osmia.montana.montana,Crepis intermedia,11-Jun-14
Andrenidae,Andrena.crataegi,Physocarpus malvaceus,11-Jun-14
Apidae,Nomada.sp.F3,Physocarpus malvaceus,11-Jun-14
Andrenidae,Andrena.topazana,Fragaria virginiana,11-Jun-14
Halictidae,Halictus.tripartitus,Arenaria capillaris,11-Jun-14
Megachilidae,Osmia.coloradensis,Tragopogon dubius,12-Jun-14
Megachilidae,Osmia.montana.montana,Crepis intermedia,12-Jun-14
Halictidae,Halictus.ligatus,Packera cana,12-Jun-14
Andrenidae,Andrena.lawrencei,Taraxacum officinale,12-Jun-14
Megachilidae,Osmia.juxta,Crepis intermedia,12-Jun-14
Megachilidae,Osmia.juxta,Crepis intermedia,12-Jun-14
Andrenidae,Andrena.thaspii,Rosa woodsii,12-Jun-14
Andrenidae,Andrena.prunorum,Rosa woodsii,12-Jun-14
Megachilidae,Megachile.perihirta,Gaillardia aristata,12-Jun-14
Megachilidae,Osmia.iridis,Astragalus miser,12-Jun-14
Halictidae,Lasioglossum.marinense,Cerastium arvense,12-Jun-14
Megachilidae,Osmia.albolateralis,Astragalus laxmannii,12-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,12-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,12-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,12-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,12-Jun-14
Apidae,Apis.mellifera,Apocynum androsaemifolium,12-Jun-14
Halictidae,Lasioglossum.egregium,Lupinus sericeus,12-Jun-14
Apidae,Eucera.edwardsii,Lupinus sericeus,12-Jun-14
Apidae,Nomada.sp.F1,Crepis intermedia,12-Jun-14
Megachilidae,Osmia.albolateralis,Crepis intermedia,12-Jun-14
Megachilidae,Osmia.juxta,Crepis intermedia,12-Jun-14
Apidae,Ceratina.neomexicana,Packera cana,12-Jun-14
Halictidae,Halictus.ligatus,Crepis intermedia,12-Jun-14
Megachilidae,Osmia.albolateralis,Astragalus miser,12-Jun-14
Megachilidae,Osmia.coloradensis,Packera cana,12-Jun-14
Megachilidae,Osmia.densa,Melilotus officinalis,12-Jun-14
Megachilidae,Osmia.albolateralis,Melilotus officinalis,12-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,12-Jun-14
Halictidae,Lasioglossum.nr.pavoninum,Melilotus officinalis,12-Jun-14
Andrenidae,Andrena.amphibola,Melilotus officinalis,12-Jun-14
Megachilidae,Osmia.coloradensis,Packera cana,12-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,12-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,12-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,12-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,12-Jun-14
Apidae,Bombus.bifarius,Rosa woodsii,19-Jun-14
Apidae,Bombus.flavifrons,Symphoricarpos albus,19-Jun-14
Apidae,Bombus.flavifrons,Symphoricarpos albus,19-Jun-14
Apidae,Apis.mellifera,Phacelia linearis,19-Jun-14
Apidae,Apis.mellifera,Rosa woodsii,19-Jun-14
Apidae,Bombus.centralis,Heuchera parviflora,20-Jun-14
Apidae,Bombus.centralis,Rubus idaeus,20-Jun-14
Andrenidae,Andrena.nivalis,Medicago lupulina,20-Jun-14
Megachilidae,Osmia.juxta,Lupinus sericeus,20-Jun-14
Megachilidae,Osmia.juxta,Lupinus sericeus,20-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,20-Jun-14
Andrenidae,Andrena.miranda,Antennaria neglecta,20-Jun-14
Megachilidae,Osmia.californica,Packera cana,20-Jun-14
Megachilidae,Osmia.longula,Astragalus alpinus,20-Jun-14
Megachilidae,Megachile.gemula,Lupinus sericeus,20-Jun-14
Megachilidae,Megachile.melanophaea,Lupinus sericeus,20-Jun-14
Apidae,Apis.mellifera,Rubus spp.,20-Jun-14
Andrenidae,Panurginus.atriceps,Cerastium sp,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Bombus.centralis,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Symphoricarpos albus,20-Jun-14
Apidae,Apis.mellifera,Symphoricarpos albus,20-Jun-14
Apidae,Apis.mellifera,Rubus spp.,20-Jun-14
Apidae,Apis.mellifera,Rubus spp.,20-Jun-14
Apidae,Apis.mellifera,Rubus spp.,20-Jun-14
Apidae,Apis.mellifera,Rubus spp.,20-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,20-Jun-14
Apidae,Apis.mellifera,Rubus idaeus,20-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,20-Jun-14
Apidae,Anthophora.ursina,Allium cernuum,21-Jun-14
Apidae,Anthophora.ursina,Penstemon wilcoxii,21-Jun-14
Megachilidae,Osmia.coloradensis,Packera cana,21-Jun-14
Megachilidae,Osmia.coloradensis,Packera cana,21-Jun-14
Apidae,Anthophora.terminalis,Apocynum androsaemifolium,21-Jun-14
Megachilidae,Stelis.carnifex,Apocynum androsaemifolium,21-Jun-14
Apidae,Apis.mellifera,Apocynum androsaemifolium,21-Jun-14
Megachilidae,Osmia.pusilla,Astragalus agrestis,21-Jun-14
Megachilidae,Hoplitis.hypocrita,Hedysarum boreale,21-Jun-14
Megachilidae,Osmia.juxta,Astragalus miser,21-Jun-14
Megachilidae,Osmia.densa,Astragalus miser,21-Jun-14
Halictidae,Lasioglossum.albipenne,Linaria dalmatica,21-Jun-14
Apidae,Ceratina.neomexicana,Packera cana,21-Jun-14
Andrenidae,Andrena.prunorum,Balsamorhiza sagittata,21-Jun-14
Megachilidae,Megachile.onobrychidis,Lupinus sericeus,21-Jun-14
Colletidae,Colletes.kincaidii,Lupinus sericeus,21-Jun-14
Halictidae,Lasioglossum.ruidosense,Melilotus officinalis,21-Jun-14
Apidae,Nomada.sp.F4,Arenaria capillaris,21-Jun-14
Megachilidae,Osmia.pusilla,Sedum lanceolatum,21-Jun-14
Halictidae,Halictus.tripartitus,Sedum lanceolatum,21-Jun-14
Halictidae,Lasioglossum.albipenne,Melilotus officinalis,21-Jun-14
Halictidae,Lasioglossum.obnubilum,Heterotheca villosa,21-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
Apidae,Nomada.sp.F7,Melilotus officinalis,21-Jun-14
Apidae,Nomada.sp.F2,Crepis intermedia,21-Jun-14
Megachilidae,Osmia.albolateralis,Melilotus officinalis,21-Jun-14
Megachilidae,Osmia.phaceliae,Melilotus officinalis,21-Jun-14
Andrenidae,Andrena.nivalis,Medicago lupulina,21-Jun-14
Halictidae,Halictus.ligatus,Apocynum androsaemifolium,21-Jun-14
Halictidae,Lasioglossum.albipenne,Achillea millefolium,21-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
Apidae,Apis.mellifera,Lupinus sericeus,21-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
